title,company,location,experience_required,salary_min,salary_max,jd_text,skills,apply_url,source,posted_date
Data Analyst,Ford India Tech,Chennai,1.5,800000.0,1300000.0,"Analyze automotive telemetry datasets. Required: SQL, Excel, Python, Tableau, Power BI.","SQL, Excel, Python, Tableau, Power BI",https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst&location=Chennai&sortBy=DD,linkedin,2026-07-17
Big Data Engineer,Cognizant,Chennai,3.0,1100000.0,1800000.0,"Develop big data pipelines for clients. Required: Python, SQL, Hadoop, Spark, AWS.","Python, SQL, Hadoop, Spark, AWS",https://careers.cognizant.com/global/en/search-results?keywords=Big+Data+Engineer,direct,2026-07-18
Computer Vision Engineer,Freshworks,Chennai,3.0,1600000.0,2600000.0,"Develop vision capabilities for product suite. Required: Python, PyTorch, OpenCV, Git.","Python, PyTorch, OpenCV, Git",https://www.linkedin.com/jobs/search/?keywords=Computer%20Vision&location=Chennai&sortBy=DD,linkedin,2026-07-19
Data Scientist,Paytm,Noida,3.0,1600000.0,2600000.0,"Paytm is hiring Data Scientists for risk analytics. Skills: Python, SQL, Pandas, NumPy, Scikit-learn, Tableau.","Python, SQL, Pandas, NumPy, Scikit-learn, Tableau",https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist&location=Noida&sortBy=DD,linkedin,2026-07-15
Machine Learning Engineer,MakeMyTrip,Gurgaon,2.0,1500000.0,2400000.0,"MakeMyTrip Noida/Gurgaon seeks ML Engineer for pricing engine. Skills: Python, PyTorch, TensorFlow, SQL, Git.","Python, PyTorch, TensorFlow, SQL, Git",https://www.linkedin.com/jobs/search/?keywords=Machine%20Learning&location=Gurugram&sortBy=DD,linkedin,2026-07-16
GenAI Engineer,Accenture,Gurgaon,2.0,1200000.0,2000000.0,"Build corporate LLM pipelines. Required: Python, LLMs, Prompt Engineering, Git, PyTorch.","Python, LLMs, Prompt Engineering, Git, PyTorch",https://www.accenture.com/in-en/careers/jobsearch?jk=GenAI&location=Gurgaon,direct,2026-07-17
Data Analyst,Zomato,Gurgaon,1.0,800000.0,1300000.0,"Analyze restaurant analytics and delivery models. Required: SQL, Excel, Tableau, Power BI, Python.","SQL, Excel, Tableau, Power BI, Python",https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst&location=Gurugram&sortBy=DD,linkedin,2026-07-18
AI Software Engineer,IBM India,Noida,2.0,1100000.0,1800000.0,"Build next-generation Watson APIs. Required: Python, SQL, Git, TensorFlow, PyTorch, Software Engineering.","Python, SQL, Git, TensorFlow, PyTorch, Software Engineering",https://www.ibm.com/careers/search?q=AI%20Software%20Engineer&country=IN,direct,2026-07-19
SOC Analyst,Ensign InfoSecurity,Bangalore,1.0,800000.0,1300000.0,"Monitor and analyze security threats. Required: SIEM, Splunk, Incident Response, Wireshark, CEH.","SIEM, Splunk, Incident Response, Wireshark, CEH",https://www.linkedin.com/jobs/search/?keywords=SOC%20Analyst&location=India&f_TPR=r2592000&sortBy=DD,linkedin,2026-07-15
Penetration Tester,EY,Bangalore,3.0,1400000.0,2200000.0,"EY India ethical hacking team is hiring. Skills: Penetration Testing, Metasploit, Nmap, Kali Linux, OSCP.","Penetration Testing, Metasploit, Nmap, Kali Linux, OSCP",https://careers.ey.com/search/?q=Penetration%20Tester&location=India,direct,2026-07-16
Vulnerability Management Specialist,PwC,Bangalore,2.0,1100000.0,1800000.0,"PwC Security Operations is hiring. Required: Vulnerability Assessment, Nessus, Nmap, Wireshark, Security+.","Vulnerability Assessment, Nessus, Nmap, Wireshark, Security+",https://www.pwc.com/gx/en/careers/search.html?q=Vulnerability&country=IN,direct,2026-07-17
Security Engineer,Standard Chartered,Bangalore,3.0,1500000.0,2400000.0,"Secure banking IAM solutions. Required: Identity and Access Management, Active Directory, CyberArk, Splunk, Git.","Identity and Access Management, Active Directory, CyberArk, Splunk, Git",https://www.sc.com/en/careers/job-search/?q=Security%20Engineer&location=India,direct,2026-07-18
GRC Cybersecurity Consultant,KPMG India,Bangalore,2.0,1000000.0,1600000.0,"Audit frameworks for cybersecurity compliance. Required: GRC, ISO 27001, CISSP, Cybersecurity.","GRC, ISO 27001, CISSP, Cybersecurity",https://careers.kpmg.com/search/?q=GRC&location=India,direct,2026-07-19
SOC Security Analyst,Wipro,Pune,1.5,700000.0,1100000.0,"Wipro security team seeks SOC Analyst. Required: SIEM, Splunk, Incident Response, cybersecurity concepts.","SIEM, Splunk, Incident Response, Cybersecurity",https://careers.wipro.com/careers-home/jobs?q=SOC,direct,2026-07-15
Application Security Tester,Quick Heal,Pune,3.0,1200000.0,2000000.0,"Conduct vulnerability assessments of core products. Required: Penetration Testing, OWASP, Burp Suite, Python, Git.","Penetration Testing, OWASP, Burp Suite, Python, Git",https://www.linkedin.com/jobs/search/?keywords=Application%20Security&location=Pune&sortBy=DD,linkedin,2026-07-16
Security consultant,Infosys,Pune,3.0,1100000.0,1800000.0,"Consult clients on cloud security architecture. Required: Cybersecurity, GRC, ISO 27001, CISSP.","Cybersecurity, GRC, ISO 27001, CISSP",https://career.infosys.com/joblist,direct,2026-07-17
Network Security Engineer,Cisco Systems,Pune,2.5,1600000.0,2500000.0,"Maintain firewall infrastructure for Cisco. Required: Wireshark, Splunk, Incident Response, Network security.","Wireshark, Splunk, Incident Response, Cybersecurity",https://www.linkedin.com/jobs/search/?keywords=Network%20Security&location=Pune&sortBy=DD,linkedin,2026-07-18
Cyber Incident Responder,PwC,Pune,3.0,1300000.0,2100000.0,"Manage enterprise critical security breaches. Required: Incident Response, Wireshark, Splunk, Linux.","Incident Response, Wireshark, Splunk, Linux",https://www.pwc.com/gx/en/careers/search.html?q=Incident%20Response&country=IN,direct,2026-07-19
Security Analyst,Microsoft,Hyderabad,2.0,1800000.0,2800000.0,"Monitor internal Microsoft service accounts. Required: Splunk, SIEM, Incident Response, IAM.","Splunk, SIEM, Incident Response, Identity and Access Management",https://careers.microsoft.com/us/en/search-results?keywords=Security%20Analyst&location=India,direct,2026-07-15
Identity & Access Analyst,Oracle,Hyderabad,2.0,1200000.0,1900000.0,"Oracle Cloud IAM team is hiring. Required: IAM, Active Directory, CyberArk, Git.","Identity and Access Management, Active Directory, CyberArk, Git",https://www.linkedin.com/jobs/search/?keywords=IAM&location=Hyderabad&f_C=558&sortBy=DD,linkedin,2026-07-16
Ethical Hacker,Accenture,Hyderabad,3.0,1400000.0,2200000.0,"Accenture pen testing division is hiring. Required: Penetration Testing, Metasploit, Nmap, Kali Linux, OSCP.","Penetration Testing, Metasploit, Nmap, Kali Linux, OSCP",https://www.accenture.com/in-en/careers/jobsearch?jk=Penetration&location=Hyderabad,direct,2026-07-17
Threat Hunter,IBM India,Hyderabad,4.0,1800000.0,2800000.0,"Search for persistent threats in IBM customer platforms. Required: Threat Intelligence, Splunk, Python, Wireshark.","Threat Intelligence, Splunk, Python, Wireshark",https://www.ibm.com/careers/search?q=Threat%20Hunter&country=IN,direct,2026-07-18
GRC Auditor,KPMG India,Hyderabad,2.5,1100000.0,1700000.0,"Perform IT compliance audits for global bank. Required: GRC, ISO 27001, CISSP, Cybersecurity.","GRC, ISO 27001, CISSP, Cybersecurity",https://careers.kpmg.com/search/?q=GRC&location=India,direct,2026-07-19
Cyber Security Analyst,TCS,Mumbai,1.0,600000.0,1000000.0,"TCS Mumbai is recruiting entry-level cybersecurity specialists. Required: SIEM, Splunk, Incident Response, CEH.","SIEM, Splunk, Incident Response, CEH",https://nextstep.tcs.com/campus/,direct,2026-07-15
Penetration Tester,EY,Mumbai,3.0,1300000.0,2100000.0,"Conduct ethical hacking assessments for corporate clients. Required: Penetration Testing, Metasploit, Nmap, Kali Linux.","Penetration Testing, Metasploit, Nmap, Kali Linux",https://careers.ey.com/search/?q=Penetration&location=Mumbai,direct,2026-07-16
Application Security Architect,HDFC Bank,Mumbai,5.0,2500000.0,3800000.0,"Secure SDLC architect for HDFC banking apps. Required: OWASP, Penetration Testing, Git, Secure SDLC.","OWASP, Penetration Testing, Git, Secure SDLC",https://www.linkedin.com/jobs/search/?keywords=Application%20Security&location=Mumbai&sortBy=DD,linkedin,2026-07-17
Vulnerability Specialist,Cognizant,Mumbai,2.0,1000000.0,1600000.0,"Manage vulnerability scans for international clients. Required: Vulnerability Assessment, Nessus, Nmap.","Vulnerability Assessment, Nessus, Nmap",https://careers.cognizant.com/global/en/search-results?keywords=Vulnerability,direct,2026-07-18
IAM security consultant,LTIMindtree,Mumbai,3.0,1200000.0,1900000.0,"Design IAM identity processes. Required: IAM, Active Directory, Splunk, Git.","Identity and Access Management, Active Directory, Splunk, Git",https://www.linkedin.com/jobs/search/?keywords=IAM&location=Mumbai&f_C=70396&sortBy=DD,linkedin,2026-07-19
Vulnerability Management Specialist,PwC,Chennai,2.0,1200000.0,1800000.0,"Review security alerts and run vulnerability scans. Required: Vulnerability Assessment, Nessus, Nmap, Security+.","Vulnerability Assessment, Nessus, Nmap, Security+",https://www.pwc.com/gx/en/careers/search.html?q=Vulnerability&country=IN,direct,2026-07-15
Incident Responder,Standard Chartered,Chennai,2.5,1300000.0,2000000.0,"Join SCB global incident response center. Required: Incident Response, Wireshark, Splunk, Linux.","Incident Response, Wireshark, Splunk, Linux",https://www.sc.com/en/careers/job-search/?q=Incident%20Response&location=India,direct,2026-07-16
SOC Analyst,Cognizant,Chennai,1.0,750000.0,1200000.0,"L1 SOC monitoring on client accounts. Required: SIEM, Splunk, Incident Response.","SIEM, Splunk, Incident Response",https://careers.cognizant.com/global/en/search-results?keywords=SOC+Analyst,direct,2026-07-17
Penetration Tester,KPMG India,Chennai,3.0,1400000.0,2200000.0,"Perform offensive testing assessments. Required: Penetration Testing, Metasploit, Nmap, OSCP.","Penetration Testing, Metasploit, Nmap, OSCP",https://careers.kpmg.com/search/?q=Penetration&location=India,direct,2026-07-18
Application Security Engineer,Zoho Corporation,Chennai,3.0,1100000.0,1700000.0,"Review application security models. Required: OWASP, Penetration Testing, Git, Secure SDLC.","OWASP, Penetration Testing, Git, Secure SDLC",https://www.linkedin.com/jobs/search/?keywords=Application%20Security&location=Chennai&sortBy=DD,linkedin,2026-07-19
SOC Analyst L2,Accenture,Noida,2.5,1100000.0,1800000.0,"Resolve complex security incidents. Required: SIEM, Splunk, Incident Response, Wireshark.","SIEM, Splunk, Incident Response, Wireshark",https://www.accenture.com/in-en/careers/jobsearch?jk=SOC&location=Noida,direct,2026-07-15
Security Engineer IAM,Oracle Labs,Gurgaon,3.0,1600000.0,2500000.0,"Implement cloud tenant IAM protocols. Required: IAM, Active Directory, CyberArk, Git.","Identity and Access Management, Active Directory, CyberArk, Git",https://www.linkedin.com/jobs/search/?keywords=IAM&location=Gurugram&f_C=558&sortBy=DD,linkedin,2026-07-16
Penetration Tester L3,KPMG India,Gurgaon,4.0,1800000.0,2800000.0,"Conduct deep ethical hacking routines. Required: Penetration Testing, Metasploit, Nmap, OSCP.","Penetration Testing, Metasploit, Nmap, OSCP",https://careers.kpmg.com/search/?q=Penetration&location=India,direct,2026-07-17
Security compliance manager,PwC,Gurgaon,4.0,1800000.0,2700000.0,"Lead compliance mapping programs. Required: Cybersecurity, GRC, ISO 27001, CISSP.","Cybersecurity, GRC, ISO 27001, CISSP",https://www.pwc.com/gx/en/careers/search.html?q=Compliance&country=IN,direct,2026-07-18
Threat Intelligence Analyst,EY,Noida,3.0,1400000.0,2100000.0,"Analyze cyber threat profiles. Required: Threat Intelligence, Splunk, Python, Wireshark.","Threat Intelligence, Splunk, Python, Wireshark",https://careers.ey.com/search/?q=Threat&location=India,direct,2026-07-19
Cloud Operations Engineer,NCS Group,Bangalore,1.5,900000.0,1400000.0,"Manage cloud operations pipelines. Required: AWS, Linux, Python, Git, Terraform.","AWS, Linux, Python, Git, Terraform",https://www.linkedin.com/jobs/search/?keywords=Cloud%20Operations&location=India&f_C=11809&sortBy=DD,linkedin,2026-07-15
DevOps Engineer,Grab India,Bangalore,3.0,1600000.0,2600000.0,"Optimize Kubernetes container builds. Required: Kubernetes, Terraform, CI/CD, AWS, Python.","Kubernetes, Terraform, CI/CD, AWS, Python",https://www.linkedin.com/jobs/search/?keywords=DevOps%20Engineer&location=India&f_C=3046626&sortBy=DD,linkedin,2026-07-16
AWS Cloud Engineer,Wipro,Bangalore,2.0,1100000.0,1800000.0,"Deploy and maintain cloud infrastructure on AWS. Required: AWS, CloudFormation, Git, Linux, Python.","AWS, CloudFormation, Git, Linux, Python",https://careers.wipro.com/careers-home/jobs?q=AWS%20Cloud%20Engineer,direct,2026-07-17
Azure Cloud Specialist,Microsoft Bangalore,Bangalore,3.0,1800000.0,2800000.0,"Help clients migrate workloads to Azure. Required: Azure, Terraform, PowerShell, CI/CD, Kubernetes.","Azure, Terraform, PowerShell, CI/CD, Kubernetes",https://careers.microsoft.com/us/en/search-results?keywords=Azure%20Cloud%20Specialist&location=India,direct,2026-07-18
Site Reliability Engineer,Tiktok,Bangalore,3.0,1800000.0,2900000.0,"Optimize reliability at massive scale. Required: Linux, Kubernetes, Prometheus, Git, Python.","Linux, Kubernetes, Prometheus, Git, Python",https://www.linkedin.com/jobs/search/?keywords=Site%20Reliability%20Engineer&location=India&f_C=19950313&sortBy=DD,linkedin,2026-07-19
Cloud DevOps Engineer,Infosys,Pune,2.0,850000.0,1400000.0,"Infosys Pune is hiring Cloud DevOps Engineers. Required: AWS, CI/CD, Terraform, Git, Linux.","AWS, CI/CD, Terraform, Git, Linux",https://career.infosys.com/joblist,direct,2026-07-15
SRE Systems Engineer,Symantec,Pune,3.0,1600000.0,2600000.0,"Optimize backend threat systems uptime. Required: Linux, Kubernetes, Prometheus, Git, Python.","Linux, Kubernetes, Prometheus, Git, Python",https://www.linkedin.com/jobs/search/?keywords=SRE&location=Pune&sortBy=DD,linkedin,2026-07-16
Cloud Platform Engineer,Barclays,Pune,2.5,1200000.0,1900000.0,"Develop cloud container solutions. Required: Kubernetes, Ansible, Git, Python.","Kubernetes, Ansible, Git, Python",https://www.linkedin.com/jobs/search/?keywords=Platform%20Engineer&location=Pune&sortBy=DD,linkedin,2026-07-17
AWS Cloud Architect,Cognizant,Pune,5.0,2400000.0,3800000.0,"Design next-gen enterprise AWS structures. Required: AWS, Terraform, Kubernetes, CI/CD.","AWS, Terraform, Kubernetes, CI/CD",https://careers.cognizant.com/global/en/search-results?keywords=AWS+Cloud+Architect,direct,2026-07-18
Infrastructure Automation Engineer,LTIMindtree,Pune,3.0,1200000.0,1800000.0,"Automate server setups for corporate clients. Required: Ansible, Terraform, Python, Git, AWS.","Ansible, Terraform, Python, Git, AWS",https://www.linkedin.com/jobs/search/?keywords=Infrastructure%20Automation&location=Pune&f_C=70396&sortBy=DD,linkedin,2026-07-19
Cloud Solutions Architect,Amazon India,Hyderabad,4.0,2500000.0,3800000.0,"Consult clients on AWS migration designs. Required: AWS, Terraform, CloudFormation, Python.","AWS, Terraform, CloudFormation, Python",https://www.amazon.jobs/en/search?base_query=Solutions+Architect&loc_query=India,direct,2026-07-15
DevOps Engineer,Microsoft,Hyderabad,3.0,1800000.0,2800000.0,"Develop automated deployment pipelines. Required: Kubernetes, Terraform, CI/CD, Azure, PowerShell.","Kubernetes, Terraform, CI/CD, Azure, PowerShell",https://careers.microsoft.com/us/en/search-results?keywords=DevOps%20Engineer&location=India,direct,2026-07-16
SRE Developer,Oracle,Hyderabad,3.0,1700000.0,2700000.0,"Manage reliability profiles of Oracle SaaS networks. Required: Linux, Kubernetes, Prometheus, Git, Python.","Linux, Kubernetes, Prometheus, Git, Python",https://www.linkedin.com/jobs/search/?keywords=SRE&location=Hyderabad&f_C=558&sortBy=DD,linkedin,2026-07-17
Cloud Operations Analyst,Deloitte India,Hyderabad,1.5,800000.0,1300000.0,"Maintain cloud deployments for clients. Required: AWS, Linux, Python, Git.","AWS, Linux, Python, Git",https://www.linkedin.com/jobs/search/?keywords=Cloud%20Operations&location=Hyderabad&sortBy=DD,linkedin,2026-07-18
Cloud Security DevOps Engineer,Accenture,Hyderabad,3.0,1400000.0,2200000.0,"Integrate secure pipelines into CI/CD builds. Required: CI/CD, AWS, Terraform, Kubernetes, Git.","CI/CD, AWS, Terraform, Kubernetes, Git",https://www.accenture.com/in-en/careers/jobsearch?jk=DevOps&location=Hyderabad,direct,2026-07-19
DevOps Architect,Reliance Jio,Mumbai,5.0,2400000.0,4000000.0,"Scale container operations for Jio network apps. Required: Kubernetes, Terraform, CI/CD, AWS.","Kubernetes, Terraform, CI/CD, AWS",https://www.linkedin.com/jobs/search/?keywords=DevOps&location=Mumbai&sortBy=DD,linkedin,2026-07-15
Cloud Operations Specialist,TCS,Mumbai,2.0,800000.0,1300000.0,"Administer cloud systems for clients. Required: AWS, Linux, Python, Git.","AWS, Linux, Python, Git",https://nextstep.tcs.com/campus/,direct,2026-07-16
SRE Infrastructure Engineer,HDFC Bank,Mumbai,3.0,1600000.0,2500000.0,"Ensure resilience of HDFC payment gateways. Required: Linux, Kubernetes, Prometheus, Git.","Linux, Kubernetes, Prometheus, Git",https://www.linkedin.com/jobs/search/?keywords=SRE&location=Mumbai&sortBy=DD,linkedin,2026-07-17
Cloud Migration Architect,Capgemini,Mumbai,4.0,2000000.0,3200000.0,"Lead enterprise cloud transformations. Required: AWS, Azure, Terraform, CI/CD.","AWS, Azure, Terraform, CI/CD",https://www.linkedin.com/jobs/search/?keywords=Cloud%20Migration&location=Mumbai&f_C=5048&sortBy=DD,linkedin,2026-07-18
Systems Administrator,L&T Infotech,Mumbai,2.0,750000.0,1250000.0,"Maintain servers and cloud instances. Required: Linux, AWS, Git, Python.","Linux, AWS, Git, Python",https://www.linkedin.com/jobs/search/?keywords=Systems%20Administrator&location=Mumbai&sortBy=DD,linkedin,2026-07-19
Cloud Architect,Zoho Corporation,Chennai,5.0,2500000.0,4000000.0,"Design backend storage structures for Zoho platform. Required: Linux, Kubernetes, Terraform, Python, Git.","Linux, Kubernetes, Terraform, Python, Git",https://www.linkedin.com/jobs/search/?keywords=Cloud%20Architect&location=Chennai&sortBy=DD,linkedin,2026-07-15
DevOps Engineer,Freshworks,Chennai,2.5,1400000.0,2200000.0,"Manage deployment pipelines for Freshdesk applications. Required: Kubernetes, Terraform, CI/CD, AWS.","Kubernetes, Terraform, CI/CD, AWS",https://www.linkedin.com/jobs/search/?keywords=DevOps&location=Chennai&sortBy=DD,linkedin,2026-07-16
AWS Platform Engineer,Cognizant,Chennai,2.0,1000000.0,1600000.0,"Configure platform automation scripts on AWS. Required: AWS, Terraform, Git, Linux.","AWS, Terraform, Git, Linux",https://careers.cognizant.com/global/en/search-results?keywords=AWS+Platform+Engineer,direct,2026-07-17
Cloud Operations Analyst,PwC,Chennai,1.5,850000.0,1400000.0,"Maintain client test environments. Required: AWS, Linux, Python, Git.","AWS, Linux, Python, Git",https://www.pwc.com/gx/en/careers/search.html?q=Cloud&country=IN,direct,2026-07-18
SRE Consultant,Standard Chartered,Chennai,3.0,1600000.0,2600000.0,"Ensure high availability of global clearing pipelines. Required: Linux, Kubernetes, Prometheus, Git, Python.","Linux, Kubernetes, Prometheus, Git, Python",https://www.sc.com/en/careers/job-search/?q=SRE&location=India,direct,2026-07-19
Cloud Migration Architect,Accenture,Gurgaon,4.0,2000000.0,3200000.0,"Design complex migration patterns to GCP and AWS. Required: AWS, Azure, Terraform, CI/CD.","AWS, Azure, Terraform, CI/CD",https://www.accenture.com/in-en/careers/jobsearch?jk=Migration&location=Gurgaon,direct,2026-07-15
AWS Systems Analyst,Paytm,Noida,2.0,900000.0,1500000.0,"Configure automated infrastructure triggers for financial applications. Required: AWS, Git, Linux, Python.","AWS, Git, Linux, Python",https://www.linkedin.com/jobs/search/?keywords=AWS&location=Noida&sortBy=DD,linkedin,2026-07-16
DevOps Engineer L2,MakeMyTrip,Gurgaon,3.0,1600000.0,2500000.0,"Deploy and test microservices on AWS cluster. Required: Kubernetes, Terraform, CI/CD, AWS.","Kubernetes, Terraform, CI/CD, AWS",https://www.linkedin.com/jobs/search/?keywords=DevOps&location=Gurugram&sortBy=DD,linkedin,2026-07-17
Cloud Operations Analyst,IBM India,Noida,1.5,800000.0,1300000.0,"Support enterprise cloud setups. Required: AWS, Linux, Python, Git.","AWS, Linux, Python, Git",https://www.ibm.com/careers/search?q=Cloud%20Operations&country=IN,direct,2026-07-18
